sez,LST_2025,densita_viaria_km_kmq
742,41.55,10.331
743,41.59,28.179
744,40.88,20.188
745,40.96,22.513
746,39.88,43.505
747,39.76,30.266
748,40.06,25.523
750,41.0,8.494
751,42.9,23.438
752,41.93,36.953
753,42.78,16.278
754,42.21,28.636
755,42.49,29.476
756,41.93,36.675
757,42.6,44.63
758,41.78,31.212
759,42.03,17.865
760,42.16,40.595
761,41.27,28.713
762,41.77,16.899
763,41.47,16.333
764,41.63,18.762
765,41.88,36.777
766,42.46,17.295
767,40.44,16.9
768,42.4,27.126
769,43.31,8.594
770,41.4,17.808
771,42.75,21.829
772,41.72,10.614
773,43.13,10.304
774,43.11,11.695
775,42.35,34.301
776,42.28,34.135
777,42.76,18.386
778,42.14,16.477
779,41.55,10.09
780,40.92,12.542
781,41.65,3.636
782,41.82,24.224
783,41.95,8.382
784,41.94,21.911
785,42.55,47.55
786,42.53,16.793
787,42.02,21.856
788,42.82,11.742
789,42.61,20.984
790,42.51,9.832
791,42.42,30.071
792,42.9,28.13
793,42.6,5.069
794,41.0,11.505
795,41.92,16.936
796,42.5,11.358
797,41.51,24.843
798,41.53,12.945
799,42.19,21.407
800,41.92,28.845
801,41.68,10.274
802,42.29,35.954
803,42.18,45.715
804,41.93,29.403
805,41.95,47.289
806,42.51,53.605
807,42.37,31.224
808,42.58,33.019
809,42.55,40.394
810,42.6,32.989
811,42.02,6.386
812,42.48,42.241
813,42.12,36.182
814,41.39,0.0
815,41.62,26.57
816,42.44,24.554
817,42.2,58.115
818,42.12,44.075
819,42.26,33.071
820,41.86,42.069
821,41.97,24.603
822,42.34,60.178
823,42.5,25.864
824,42.0,36.434
825,42.07,30.749
826,41.49,25.651
827,42.43,60.618
828,42.51,36.072
829,42.77,39.186
830,41.13,24.792
831,40.49,8.16
832,41.88,29.588
833,42.03,0.0
834,41.24,33.963
835,43.46,9.115
836,42.03,1.965
837,41.52,53.567
838,42.07,52.293
839,40.38,19.168
840,40.75,35.174
841,41.26,26.918
842,40.11,7.773
843,40.72,13.947
844,41.66,29.556
845,41.12,24.161
846,40.57,27.451
847,41.76,16.374
848,40.94,15.245
849,39.88,20.52
850,40.84,30.915
851,40.98,6.974
852,40.8,28.781
853,40.71,45.137
854,42.34,6.504
855,40.83,27.486
856,40.58,63.107
857,40.43,53.735
858,40.19,103.977
859,40.16,49.375
860,40.19,16.364
861,40.78,7.287
862,40.94,10.03
863,40.84,31.724
864,44.08,32.561
865,42.07,31.271
866,42.96,28.211
867,42.04,16.064
868,42.38,11.613
869,41.75,10.758
870,41.87,17.712
871,42.86,23.461
872,43.72,16.577
873,41.31,13.006
874,41.66,17.19
875,42.32,24.157
876,42.3,32.841
877,42.11,32.112
878,41.95,5.374
879,42.28,32.465
880,40.9,27.22
881,,45.288
882,40.98,2.986
883,42.12,18.922
884,41.21,20.615
885,42.37,55.884
886,42.45,56.954
887,42.48,66.406
888,42.48,37.242
889,42.65,41.566
890,42.63,42.15
891,42.61,66.053
892,42.5,44.862
893,42.13,28.832
894,42.31,8.852
895,40.42,4.51
896,38.38,0.98
897,39.81,10.125
898,42.07,1.27
899,42.19,23.458
900,42.39,30.746
901,41.66,14.629
902,41.82,2.137
903,42.91,52.412
904,42.31,7.028
905,41.37,38.221
906,43.37,18.562
907,42.6,12.557
908,42.93,26.648
909,42.48,18.278
910,41.96,34.853
911,42.35,28.194
912,42.77,32.928
913,42.83,32.225
914,42.29,20.496
915,43.03,23.04
916,42.71,63.338
917,42.56,55.977
918,42.07,34.806
919,41.88,18.37
920,41.66,37.778
921,42.3,31.813
922,41.7,41.548
923,42.89,27.574
924,42.68,29.375
925,42.03,25.409
926,42.9,31.969
927,42.91,43.179
928,43.05,48.392
929,43.05,39.451
930,43.15,46.969
931,42.95,30.962
932,42.93,18.27
933,42.46,28.614
934,42.77,30.552
935,41.58,23.694
936,42.73,11.22
937,42.5,27.116
938,42.31,40.407
939,42.14,5.03
940,42.41,64.095
941,,78.02
942,42.58,26.312
943,42.77,10.973
944,42.15,64.281
945,41.83,22.948
946,41.07,15.413
947,40.25,41.882
948,42.29,18.492
949,42.76,29.219
950,42.53,36.272
951,42.28,33.443
952,41.99,21.95
953,41.92,7.227
954,42.64,33.155
955,42.67,29.23
956,42.39,24.955
957,41.78,24.364
958,42.62,26.57
959,42.43,24.506
960,42.71,24.042
961,42.78,31.172
962,41.86,30.596
963,42.97,21.173
964,42.02,17.59
965,42.88,20.84
966,42.83,31.051
967,42.98,34.501
968,42.35,15.917
969,42.53,21.051
970,42.7,22.172
971,42.07,26.889
972,41.26,17.88
973,40.58,12.995
974,41.96,15.869
975,41.16,18.605
976,39.84,15.048
977,40.7,28.442
978,40.76,29.344
979,40.36,29.153
980,41.5,23.095
981,41.7,11.698
982,41.59,32.62
984,42.56,29.296
985,42.62,51.733
986,42.57,27.208
987,42.57,38.215
988,42.5,32.842
989,42.76,29.25
990,42.05,26.266
991,41.91,20.75
992,42.74,41.653
993,43.78,5.74
994,43.3,28.002
995,43.82,30.431
996,43.07,50.205
997,43.18,12.487
998,42.97,29.106
999,40.97,30.667
1000,41.76,30.175
1001,42.23,20.244
1002,41.67,14.743
1003,41.96,19.906
1004,42.46,28.757
1005,42.08,15.739
1006,41.57,21.543
1007,42.05,38.17
1008,42.22,16.287
1009,42.12,44.837
1010,42.7,29.798
1011,41.85,24.454
1012,41.7,20.003
1013,42.19,17.59
1014,42.79,32.455
1015,43.98,17.771
1016,42.09,17.305
1017,42.93,38.003
1018,43.1,9.743
1019,42.04,11.522
1020,43.1,24.579
1021,43.58,19.964
1022,41.78,20.911
1024,41.86,30.07
1025,42.2,27.538
1026,41.59,56.396
1027,41.48,23.34
1028,41.57,28.537
1029,42.43,17.676
1030,42.68,11.61
1031,42.85,25.325
1032,43.37,37.364
1033,42.8,47.506
1034,41.87,15.695
1035,41.71,18.093
1036,41.78,12.204
1037,40.84,18.259
1038,41.22,6.911
1039,41.0,36.213
1040,41.22,22.594
1041,41.76,9.197
1042,41.54,18.14
1043,41.03,3.408
1044,40.15,18.693
1045,42.39,12.945
1046,41.66,45.512
1047,41.56,31.775
1048,42.26,17.368
1049,41.54,14.023
1050,42.83,115.687
1051,41.99,17.975
1052,41.95,40.147
1053,41.77,18.449
1054,41.44,50.101
1055,41.29,10.459
1056,41.99,22.856
1057,41.48,31.011
1058,42.04,21.943
1059,41.08,29.641
1060,41.7,15.575
1061,41.4,4.349
1062,42.21,20.922
1063,42.67,46.339
1064,42.3,34.169
1065,41.25,17.515
1066,40.86,23.999
1067,42.13,34.046
1068,42.18,42.972
1069,41.29,13.347
1070,41.75,20.552
1071,42.1,19.301
1072,42.06,7.155
1073,42.12,24.077
1074,42.46,17.56
1075,41.26,21.151
1076,42.09,14.032
1077,42.06,45.896
1078,42.17,52.679
1079,42.72,25.45
1080,42.41,44.99
1081,42.12,53.101
1082,41.31,34.12
1083,41.17,30.325
1084,41.55,28.253
1085,40.62,45.293
1086,40.37,19.893
1087,39.98,19.386
1088,40.46,39.852
1089,41.63,41.035
1090,41.78,9.525
1091,41.51,24.285
1092,41.4,30.75
1093,41.64,1.929
1094,42.84,4.052
1095,41.57,10.632
1096,38.79,4.343
1097,40.26,25.559
1098,41.62,36.291
1099,42.08,23.55
1100,42.64,23.471
1101,41.19,12.844
1102,41.76,20.443
1103,42.47,33.447
1104,42.11,39.674
1105,41.76,41.338
1106,42.38,31.388
1107,41.58,23.114
1108,42.08,20.926
1109,42.14,36.535
1110,42.16,23.067
1111,41.29,11.172
1112,41.85,46.072
1113,41.41,33.093
1114,41.8,19.526
1115,41.37,37.204
1116,41.38,14.859
1117,41.49,19.869
1118,41.15,29.007
1119,41.53,23.116
1120,41.65,19.832
1121,41.6,29.164
1122,41.52,12.035
1123,41.78,31.965
1124,41.06,21.426
1125,41.13,24.07
1126,40.97,15.883
1127,43.08,25.026
1128,42.29,17.679
1129,43.2,57.083
1130,43.32,49.993
1131,43.54,23.525
1132,43.48,25.726
1133,42.71,17.772
1134,43.63,22.376
1135,43.5,31.566
1136,43.29,44.729
1137,43.02,35.612
1138,43.41,45.527
1139,43.25,41.622
1140,43.19,28.254
1141,43.05,18.591
1142,43.23,20.172
1143,42.43,43.972
1144,42.83,57.085
1145,42.83,48.096
1146,42.71,36.032
1147,42.61,67.258
1148,42.0,13.41
1149,42.21,28.935
1150,41.86,46.727
1151,41.85,22.798
1152,41.39,31.84
1153,42.64,46.116
1154,41.82,15.526
1155,40.78,16.304
1156,41.25,53.494
1157,41.2,20.91
1158,41.29,17.567
1159,41.98,11.032
1160,42.37,20.035
1161,42.54,35.796
1162,41.63,37.33
1163,41.47,56.658
1164,41.46,24.613
1165,42.4,5.26
1166,41.33,21.818
1167,42.92,3.71
1168,41.12,29.173
1169,41.01,14.462
1170,41.25,20.585
1171,42.06,52.213
1172,41.44,34.868
1173,41.67,34.72
1174,42.36,8.654
1175,42.3,28.188
1176,41.97,13.701
1177,41.85,11.016
1178,42.18,22.581
1179,42.23,32.188
1180,42.06,9.29
1181,41.82,27.846
1182,41.67,26.813
1183,42.01,7.645
1184,41.41,17.089
1185,40.84,7.343
1186,40.12,19.963
1187,41.79,19.246
1188,41.33,37.639
1189,40.72,9.931
1190,40.76,11.86
1191,40.3,25.788
1192,40.84,26.852
1193,40.55,10.398
1194,41.55,16.201
1195,41.06,0.154
1196,41.58,13.428
1197,41.57,9.398
1198,40.32,14.938
1199,40.69,18.911
1200,42.83,12.386
1201,43.15,26.427
1202,41.82,23.587
1203,40.93,26.957
1204,41.4,12.567
1205,42.85,17.286
1206,40.41,19.351
1207,41.75,12.979
1208,42.44,20.861
1209,42.43,9.332
1210,42.32,14.396
1211,42.21,33.078
1212,41.89,7.909
1213,41.86,15.505
1214,41.84,34.259
1215,41.65,20.795
1216,41.59,22.372
1217,41.18,75.88
1218,41.89,63.504
1219,41.75,11.129
1220,41.8,29.103
1221,41.75,12.239
1222,42.0,41.865
1223,41.82,17.13
1224,41.88,34.318
1225,42.46,8.651
1226,42.37,16.648
1227,42.33,21.75
1228,42.15,23.219
1229,41.64,6.582
1230,41.53,0.283
1231,42.69,27.719
1232,41.19,14.732
1233,41.43,26.079
1234,41.25,19.364
1235,40.82,27.522
1236,40.67,39.862
1237,40.9,16.526
1238,41.71,27.829
1239,41.6,33.603
1240,41.02,18.089
1241,40.5,18.246
1242,40.63,21.162
1243,41.28,29.395
1244,41.27,34.136
1245,41.1,19.694
1246,41.44,51.893
1247,42.16,21.244
1248,40.73,0.0
1249,39.33,2.421
1250,39.54,9.706
1251,41.1,13.964
1252,41.09,5.809
1253,42.59,17.965
1254,42.87,14.635
1255,43.33,19.676
1256,40.92,20.321
1257,41.13,30.402
1258,40.94,24.469
1259,39.36,5.639
1260,39.52,19.66
1261,40.8,17.406
1262,40.98,14.42
1263,40.91,11.349
1264,40.81,23.491
1265,40.61,11.513
1266,40.3,13.115
1267,41.16,12.984
1268,41.23,13.461
1269,41.01,24.003
1270,41.05,31.672
1271,41.22,33.107
1272,41.26,24.941
1273,41.37,15.655
1274,41.64,32.869
1275,41.74,20.463
1276,41.7,23.138
1277,41.35,36.2
1278,41.29,20.653
1279,41.29,50.07
1280,41.34,41.785
1281,40.95,32.749
1282,40.31,22.738
1283,40.79,52.119
1284,40.59,24.121
1285,40.94,23.265
1286,41.74,39.757
1287,41.86,38.91
1288,41.93,40.77
1289,40.97,31.814
1290,41.55,38.401
1291,40.8,44.313
1292,40.42,27.079
1293,40.6,35.486
1294,40.6,21.541
1295,40.6,36.068
1296,41.17,38.954
1297,40.42,47.549
1298,41.17,49.622
1299,42.03,17.791
1300,42.91,37.499
1301,43.49,36.41
1302,43.27,26.485
1303,42.94,24.805
1304,43.0,22.94
1305,41.45,26.378
1306,41.65,8.628
1307,42.64,17.204
1308,43.94,13.054
1309,42.55,20.417
1310,41.64,13.273
1311,40.39,42.813
1312,41.48,0.432
1313,41.04,7.541
1314,40.43,21.966
1315,40.98,47.365
1316,41.02,13.305
1317,41.05,17.49
1318,40.78,20.175
1319,41.15,17.346
1320,41.08,17.184
1321,41.35,87.313
1322,41.63,12.596
1323,41.81,21.89
1324,41.67,77.289
1325,41.31,16.151
1326,41.51,42.806
1327,41.54,19.953
1328,41.65,10.989
1329,41.74,69.637
1330,40.83,29.451
1331,41.6,12.544
1332,41.35,28.351
1333,41.09,39.232
1334,41.45,29.61
1335,41.21,27.289
1336,41.32,28.029
1337,41.82,43.532
1338,41.83,11.723
1339,41.69,26.591
1340,41.87,35.159
1341,41.74,12.263
1342,40.99,20.389
1343,41.22,20.73
1344,41.52,26.817
1345,41.04,33.974
1346,40.71,33.352
1347,41.16,26.643
1348,40.71,31.392
1349,41.08,31.771
1350,41.08,29.187
1351,41.76,20.764
1352,41.13,33.755
1353,41.35,29.433
1354,41.14,35.147
1355,40.73,23.57
1356,41.04,31.501
1357,40.84,27.127
1358,40.3,39.203
1359,40.09,30.908
1360,40.46,53.221
1361,40.82,29.543
1362,41.15,43.459
1363,41.56,26.395
1364,42.17,15.55
1365,42.02,30.681
1366,42.07,12.322
1367,41.54,22.551
1368,40.84,19.965
1369,41.58,25.607
1370,40.96,0.0
1371,41.02,9.614
1372,41.28,16.852
